Timestamp,Elapsed,Proximity,Posture
22:32:01,00:00:02,ok,ok
22:32:08,00:00:08,idle,idle
22:32:08,00:00:09,ok,ok
22:32:08,00:00:09,idle,idle
22:32:09,00:00:09,ok,ok
22:32:09,00:00:10,idle,idle
22:32:09,00:00:10,ok,ok
22:32:09,00:00:10,idle,idle
22:32:09,00:00:10,ok,ok
22:32:09,00:00:10,idle,idle
22:32:11,00:00:12,ok,ok
22:32:12,00:00:13,idle,idle
22:32:13,00:00:14,ok,ok
22:32:14,00:00:15,idle,idle
22:32:18,00:00:19,ok,ok
22:32:20,00:00:20,ok,caution
22:32:20,00:00:21,ok,ok
22:32:20,00:00:21,ok,caution
22:32:20,00:00:21,ok,warn
22:32:20,00:00:21,ok,caution
22:32:20,00:00:21,idle,idle
22:32:20,00:00:21,ok,alert
22:32:21,00:00:21,idle,idle
22:32:21,00:00:22,ok,alert
22:32:21,00:00:22,ok,caution
22:32:21,00:00:22,ok,ok
22:32:22,00:00:23,ok,caution
22:32:23,00:00:23,ok,warn
22:32:23,00:00:24,ok,ok
22:32:23,00:00:24,ok,caution
22:32:23,00:00:24,ok,ok
